【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【遁跡銷聲】	謂隱居不出。
【遁名改作】	竄改物名，改變作品。
【遁名匿跡】	隱姓埋名，不露行跡。
【遁入空門】	謂避開塵世而入佛門。多指出家為僧尼。
【遁身遠跡】	又作：避世隱居。
【遁世長往】	避世隱居而長期不出。
【遁世絕俗】	見“遁世離俗”。
【遁世離群】	又作：避世獨處。
【遁世離俗】	謂隱居而屏絕世俗往來。
【遁世無悶】	謂逃避世俗而心無煩憂。
【遁世遺榮】	謂避世隱居而拋棄榮華富貴。
【遁世隱居】	避世而深居不仕。
【遁世幽居】	見“遁世隱居”。
【遁俗無悶】	見“遁世無悶”。
【遁天倍情】	謂違背天然之性而加添流俗之情。一說，違背天性與真情。倍，通“背”。
【遁天妄行】	謂違背自然規律而胡作非為。
【遁天之刑】	謂違背自然規律所受的刑罰。
【遁形遠世】	又作：避世隱居。
【遁逸無悶】	見“遁世無悶”。
【遁陰匿景】	隱藏形跡。
【多才多藝】	亦作“多材多藝”。亦作“多藝多才”。亦作“多能多藝”。具有多方面的才能和技藝。
【多材多藝】	見“多才多藝”。
【多財善賈】	見“多錢善賈”。
【多藏厚亡】	謂聚斂越多，則喪失越大。語出《老子》：“是故甚愛必大費，多藏必厚亡。”王弼註：“甚愛不與物通，多藏不與物散，求之者多，攻之者眾，為物所病，故大費厚亡也。”
【多愁多病】	亦作“多愁善病”。時常憂愁，體弱多病。舊時多用以形容才子佳人的嬌弱狀態。
【多愁善病】	見“多愁多病”。
【多愁善感】	常發愁，易傷感。常形容人感情脆弱。
【多此一舉】	做不必要的、多餘的事情。
【多端寡要】	頭緒甚多而不知擇要行事。
【多多益辦】	見“多多益善”。
【多多益善】	亦作“多多益辦”。越多越好。語本《史記·淮陰侯列傳》：“上問曰：‘如我能將幾何？’信曰：‘陛下不過能將十萬。’上曰：‘於君何如？’曰：‘臣多多而益善耳。’上笑曰：‘多多益善，何為為我禽？’”
【多方百計】	想盡或用盡種種方法、計謀。
【多故之秋】	謂多事故多患難的時期。
【多見廣識】	見聞多，知識廣。
【多歷年稔】	謂歷時久長。
【多歷年所】	謂歷時久遠。
【多謀善斷】	能多方謀劃而又善於決斷。
【多謀善慮】	富於智謀，又善於思考。
【多難興邦】	謂國家多遭患難，可以促使內部團結，因而興盛起來。語出《左傳·昭公四年》：“鄰國之難，不可虞也。或多難以固其國，啟其疆土；或無難以喪其國，失其守宇。”
【多能多藝】	見“多才多藝”。
【多歧亡羊】	《列子·說符》：“楊子之鄰人亡羊，既率其黨，又請楊子之豎追之。楊子曰：‘嘻！亡一羊，何追者之眾？’鄰人曰：‘多歧路。’既反，問：‘獲羊乎？’曰：‘亡之矣。’曰：‘奚亡之？’曰：‘歧路之中又有歧焉，吾不知所之，所以反也。’……心都子曰：‘大道以多歧亡羊，學者以多方喪生。’”後以“多歧亡羊”比喻因情況複雜多變而迷失方向，誤入歧途。引申為泛而不專，終無所成。
【多錢善賈】	亦作“多財善賈”。謂錢多好作買賣。比喻具備充分條件，則事容易辦成。
【多情多感】	見“多情善感”。
【多情多義】	重情誼。
【多情善感】	亦作“多情多感”。重感情，易傷感。
【多事之秋】	多事故、多患難的時期。
【多收並畜】	謂一律收羅藏蓄。
【多凶少吉】	凶害多，吉利少。
【多言多語】	謂不該說而說。
【多一事不如少一事】	亦作“多一事不如省一事”。謂少管事、少攬事可少風險、少麻煩。
【多一事不如省一事】	見“多一事不如少一事”。
【多藝多才】	見“多才多藝”。
【多魚之漏】	《左傳·僖公二年》：“齊寺人貂始漏師於多魚。”杜預註：“多魚，地名……《傳》言貂於此始擅貴寵，漏洩桓公軍事，為齊亂張本。”後以“多魚之漏”指泄漏軍事機密。
【多災多難】	謂災難深重。
【多嘴多舌】	猶饒舌。不該說而說。
【多嘴獻淺】	謂胡亂說些沒見識、不起好作用的話。
【咄咄逼人】	①形容出語傷人，使人難以忍受。②泛指出言盛氣逼人。③形容本領趕上或超越前人，令人讚嘆。
【咄咄怪事】	連聲驚呼稱怪。形容令人驚訝的怪事。語出南朝宋劉義慶《世說新語·黜免》：“殷中軍（殷浩）被廢在信安，終日恆書空作字，揚州吏民尋義逐之，竊視，唯作‘咄咄怪事’四字而已。”
【咄咄書空】	《晉書·殷浩傳》載殷浩雖被黜放，口無怨言，但終日書空作“咄咄怪事”四字。後以“咄咄書空”形容失志、懊恨之態。
【奪眶而出】	謂眼淚從眼眶湧出。
【奪胎換骨】	原為道教語。謂脫去凡胎俗骨而換為聖胎仙骨。後用以喻師法前人而不露痕跡，並能創新。
【掇青拾紫】	謂獲取高官顯位。青、紫，古時公卿的服色。
【掇臀捧屁】	形容巴結諂媚的醜態。
【墮溷飄茵】	見“墜茵落溷”。
【屙金溺銀】	喻生財有術。
【訛以傳訛】	把本來就是錯誤的東西妄加傳播，越傳越錯。
【訛以滋訛】	又作：訛以傳訛。
【峨峨湯湯】	形容樂聲高亢奔放。
【峨峨洋洋】	本用以形容音樂高亢奔放。後亦用以形容歡樂之態。語本《列子·湯問》：“伯牙善鼓琴，鍾子期善聽。伯牙鼓琴，志在高山，鍾子期曰：‘善哉！峨峨兮若泰山。’志在流水，鍾子期曰：‘善哉！洋洋兮若江河。’”
【峨冠博帶】	高冠和闊衣帶。古代儒生或士大夫的裝束。
【鵝湖之會】	南宋淳熙二年（1175年）在信州（今江西上饒）鵝湖寺舉行的一次著名的哲學辯論會。由呂祖謙邀集，意圖調和硃熹和陸九淵兩派爭執。在治學方法上，硃熹主張“先道問學”和“即物而窮其理”，即從博覽群書和對外物的觀察來啟發內心的知識；陸九淵主張“尊德性”和“發明本心”，認為“心即理也”，不必多做讀書窮理工夫。硃譏陸為“禪學”，陸譏硃為“支離”，並賦詩互相責難。實質上是硃的客觀唯心主義和陸的主觀唯心主義的一場爭論。
【鵝王擇乳】	水乳同置一器，鵝王僅飲乳汁而留其水。比喻擇其上乘精華。事見《祖庭事苑》卷五。
【鵝行鴨步】	形容步態遲緩而搖擺。
【蛾度虵行】	像螞蟻和蛇那樣爬行。形容山路險陡。
【蛾附蜂屯】	像螞蟻和蜜蜂一樣聚集。形容紛紜雜亂。
【蛾眉曼睩】	形容女子容貌之美。蛾眉，比喻美女的眉毛像蠶蛾眉那樣又細又彎；曼睩，眼珠轉動。
【蛾眉螓首】	彎彎的眉毛，方廣的前額。形容女子容貌的美艷。語本《詩·衛風·碩人》：“螓首蛾眉。”
【額蹙心痛】	極度憂愁傷心貌。
【額手稱慶】	以雙手合掌加額，表示慶幸。
【額手稱頌】	同“額手稱慶”。
【額手相慶】	見“額手稱慶”。
【額外主事】	明清時為各部司員的低級官吏。一般由沒有考中庶吉士的進士充任，也可以由皇帝賞賜。
【扼喉撫背】	又作：扼吭拊背。
【扼襟控咽】	比喻據守險要之地。
【扼吭拊背】	掐其喉而擊其背。喻控制要害，前後夾擊。
【惡不去善】	謂不因厭惡其人而抹殺他的優點。
【惡塵無染】	謂沒有受到壞習氣的影響。
【惡貫滿盈】	作惡極多，已到末日。語本《書·泰誓上》：“商罪貫盈，天命誅之。”孔傳：“紂之為惡，一以貫之，惡貫已滿，天畢其命。”
【惡貫已盈】	同“惡貫滿盈”。
【惡籍盈指】	猶惡貫滿盈。
【惡聲惡氣】	形容說話態度粗魯。
【惡濕居下】	討厭潮濕，卻又自處于低窪之地。比喻明知不可而不能改。
【惡言厲色】	說話和臉色都很嚴厲。
【惡衣惡食】	同“惡衣菲食”。
【惡衣菲食】	粗劣的衣食。形容生活儉樸。
【惡衣糲食】	同“惡衣菲食”。
【惡衣蔬食】	同“惡衣菲食”。
【惡直醜正】	謂使奸邪者改惡從善。
【惡直醜正】	嫉害正直的人。
【惡直醜正】	嫉害正直的人。
【惡紫奪硃】	原謂厭惡以邪代正。後以喻以邪勝正，以異端充正理。古代以硃為正色，喻正統，故雲。語本《論語·陽貨》：“惡紫之奪硃也；惡鄭聲之亂雅樂也；惡利口之覆邦家者。”
【餓虎撲食】	形容動作迅速而猛烈。
【餓虎吞羊】	形容迅猛貪婪。
【餓死事小，失節事大】	宋明理學家反對婦女改嫁的封建說教。謂貧困餓死是小事，再嫁而失去節操才是大事。語出《二程遺書》卷二二下：“又問：‘或有孤孀貧窮無託者，可再嫁否？’曰：‘只是後世怕寒餓死，故有是說。然餓死事極小，失節事極大。’”
【遏惡揚善】	①掩飾人之過失而褒揚他的長處。②指禁遏邪惡，褒揚善良。
【遏漸防萌】	又作：杜漸防萌。
【搤臂嚙指】	漢王充《論衡·感虛》：“曾子出薪於野，有客至而欲去。曾母曰：‘原留，參方到。’即以右手搤其左臂。曾子左臂立痛，即馳至問母：‘臂何故痛？’母曰：‘今者客來欲去，吾搤臂以呼汝耳。’”《後漢書·周磐傳》：“磐同郡蔡順……嘗出求薪，有客卒至，母望順不還，乃噬其指。順即心動，棄薪馳歸，跪問其故。母曰：‘有急客來，吾噬指以悟汝耳。’”後以“搤臂嚙指”指至孝之人與父母心相感應。
【噩噩渾渾】	質樸忠厚貌。指上古之世。
【恩不放債】	對親人不宜放債。意謂免因錢財交往而致發生怨懟。恩，指親人。
【恩將仇報】	謂受人恩惠卻反而報以仇恨。
【恩同山嶽】	猶恩重如山。
【恩同再造】	謂恩德之大猶如使己再生。
【恩重如山】	恩德像山一樣重。謂恩德極大。
【爾虞我詐】	見“爾詐我虞”。
【爾詐我虞】	互不信任，互相欺騙。語出《左傳·宣公十五年》：“我無爾詐，爾無我虞。”
【耳鬢廝磨】	耳與鬢髮互相摩擦。形容相處親密。
【耳聰目明】	聽覺好，視力強。常用以形容眼光敏銳，頭腦清楚。
【耳根清淨】	謂耳中不聞胡言亂語或嘈雜聲音。常指不聞閒是閒非。
【耳後風生】	形容馳驅極速。
【耳滿鼻滿】	滿耳朵滿鼻子。謂聞之熟極。
【耳目一新】	視聽都感到新鮮。
【耳染目濡】	同“耳濡目染”。
【耳濡目擊】	見“耳濡目染”。
【耳濡目及】	見“耳濡目染”。
【耳濡目染】	謂經常聽到看到，無形之中受到影響。語本唐韓愈《清河郡公房公墓碣銘》：“目擩耳染，不學以能。”
【耳食之論】	指聽來的沒有確鑿根據的話。
【耳食之談】	見“耳食之論”。
【耳視目聽】	古代道家的一種修養境界，認為視聽由精神所主宰，可不受器官的限制。
【耳熟能詳】	謂因常聞而能詳知或詳述。
【耳提面命】	《詩·大雅·抑》：“匪面命之，言提其耳。”孔穎達疏：“非但對面命語之，我又親提撕其耳，庶其志而不忘。”後以“耳提面命”謂教誨殷切，要求嚴格。
【耳提面訓】	同“耳提面命”。
【耳聽八方】	耳朵同時察聽各方面來的聲音。多用以形容機警。八方，四方四隅的總稱。
【耳聞目睹】	同“耳聞目見”。
【耳聞目擊】	見“耳聞目見”。
【耳聞目見】	親耳聽見，親眼看見。
【耳聞目覽】	同“耳聞目見”。
【耳聞目染】	同“耳濡目染”。
【耳聞眼見】	見“耳聞目見”。
【邇安遠至】	語本《論語·子路》：“葉公問政，子曰：‘近者說，遠者來。’”謂近居之民以政治清明而歡樂，遠地之民則聞風而附。後以“邇安遠至”謂政治清明。
【二分明月】	唐徐凝《憶揚州》詩：“天下三分明月夜，二分無賴是揚州。”後因以表示美好的風光。
【二缶鍾惑】	謂對缶和鐘兩種盛器的容量大小分不清楚。比喻是非不明。
【二惠競爽】	《左傳·昭公三年》：“齊公孫灶（子雅）卒。司馬灶見晏子，曰：‘又喪子雅矣。’晏子曰：‘惜也……二惠競爽猶可，又弱一個焉，姜其危哉。’”杜預註：“子雅子尾皆齊惠公之孫也。競，彊也。爽，明也。”後因以“二惠競爽”為對人兄弟的稱頌之辭。
【二滿三平】	同“三平二滿”。
【二三君子】	猶二三子。
【二童一馬】	南朝宋劉義慶《世說新語·品藻》：“殷侯既廢，桓公語諸人曰：‘少時與淵源共騎竹馬，我棄去，己輒取之，故當出我下。’”後用以指少年時代的好友。
【二心兩意】	謂不專一，不堅定。
【發財致富】	因獲得大量財物而富裕起來。
【髮短心長】	①謂年雖老而計慮深長。語出《左傳·昭公三年》：“齊侯回於莒，盧浦嫳見，泣且請曰：‘余發如此種種，余奚能為？’公曰：‘諾，吾告二子。’歸而告之。子尾欲復之，子雅不可，曰：‘彼其發短，而心甚長，其或寢處我矣。’”②謂年華已逝而心未衰。
【發奮蹈厲】	同“發揚蹈厲”。
【發奮圖強】	同“發憤圖強”。
【發奮為雄】	又作：發憤自雄。
【發憤圖強】	下定決心，努力謀求強盛或進步。也指下定決心力求上進的情況。
【發憤忘食】	形容十分勤奮。
【發憤展佈】	發奮振作，施展本領。
【發憤自厲】	下定決心磨煉自己。
【發憤自雄】	決心奮鬥，使自己強盛有實力。
【發瞽披聾】	張開瞽目，打通聾耳。又作：恢復視覺和聽覺能力。
【發號布令】	同“發號施令”。
【發號出令】	同“發號施令”。
【發號施令】	發命令，下指示。
【發號吐令】	同“發號施令”。
【發皇張大】	發展擴大。
【發跡變泰】	謂由卑微而得志顯達，壞運變為好運。
【發家致富】	猶發家。
【發家致業】	猶發家。
【發奸露覆】	同“發奸擿伏”。
【發奸摘伏】	同“發奸擿伏”。
【發奸摘覆】	同“發奸擿伏”。
【發奸擿伏】	揭露隱蔽的壞人壞事。
【發科打諢】	以滑稽的動作和語言引人發笑。
【發科打趣】	說滑稽話，拿人開玩笑。
【發聾振聵】	發出很大的響聲，使耳聾的人也聽得見。比喻言論文章有使人清醒感奮的作用。
【發矇振聵】	使盲人也能看見，聾人也能聽見。比喻言論文章有使人清醒感奮的作用。
【發蒙解縛】	啟發矇昧，解除束縛。
【發蒙啟蔽】	啟發矇昧。
【發蒙啟滯】	啟發矇昧，開通阻塞。
【發蒙振槁】	同“發蒙振落”。
【發蒙振落】	揭開蒙蓋物，搖掉將落的枯葉。喻輕而易舉。
【發怒衝冠】	同“發上衝冠”。
【發潛闡幽】	闡發沉潛深奧的事理。
【發人深省】	啟發人們深刻思考而有所醒悟。語本唐杜甫《游龍門奉先寺》詩：“欲覺聞晨鐘，令人發深省。”
【發人深思】	啟發人們深刻思考。
【發榮滋長】	①草木繁茂地萌發生長。②比喻某些事物茁壯地成長。
【發上衝冠】	又作：發上指冠。語本《史記·廉頗藺相如列傳》：“王授璧，相如因持璧卻立，倚柱，怒發上衝冠。”
【發上指冠】	毛髮豎起貌。形容極度憤怒。
【發無不捷】	又作：戰無不勝。
【發憲布令】	又作：發號施令。
【發言盈庭】	發言的人擠滿堂。謂人多言雜。
【發揚踔厲】	見“發揚蹈厲”。
【發揚蹈厲】	亦作“發揚蹈勵”。亦作“發揚踔厲”。本指舞蹈時動作的威武。《禮記·樂記》：“發揚蹈厲，大（太）公之志也。”孔穎達疏：“言武樂之舞，發揚蹈厲象大公威武鷹揚之志也。”《史記·樂書》：“發揚蹈厲之已蚤，何也？”張守節正義：“發，初也。揚，舉袂也。蹈，頓足蹋地。厲，顏色勃然如戰色也。”《隋書·音樂志下》：“發揚蹈厲，威而不殘也。”後用以形容精神奮發，意氣昂揚。
【發揚蹈勵】	見“發揚蹈厲”。
【發揚光大】	①使美好的事物在原來基礎上不断發展、擴大和提高。②特指對醜惡的事物極力加以擴散。
【發隱擿伏】	揭露隱蔽的壞人壞事。
【發踴衝冠】	同“發上衝冠”。
【發摘奸隱】	同“發擿奸伏”。
【髮指眥裂】	見“髮指眥裂”。
【髮指眥裂】	頭髮上豎，眼眶欲裂。為極度憤怒狀。語本《呂氏春秋·必己》：“孟賁瞋目而視船人，發植，目裂，鬢指。”
【髮指眥裂】	見“髮指眥裂”。
【發擿奸伏】	揭露隱蔽的壞人壞事。
【發蹤指使】	見“發縱指使”。
【發蹤指示】	見“發縱指示”。
【發縱指使】	操縱指揮。
【發縱指示】	亦作“發蹤指示”。謂放出獵狗，指示方向，令其追捕野獸。一說獵人發現野獸的蹤跡，指示獵狗追捕。比喻操縱指揮。
【伐冰之家】	伐冰，鑿取冰塊。古代唯有卿大夫以上的貴族喪祭得以用冰，因以“伐冰之家”稱達官貴族。
【伐功矜能】	誇耀自己的功勞的才能。
【伐毛換髓】	削去舊的毛髮，換去舊的骨髓。比喻徹底改變原來的面貌。
【伐毛洗髓】	①古時神話傳說，謂仙人滌除塵垢，脫胎換骨。②比喻剔除蕪雜無用之物。
【伐性之斧】	比喻危害身心的事物。
【伐異黨同】	謂聯合觀點或利益相同的人以攻擊異己。
【伐罪弔民】	謂討伐有罪的君主，撫慰受難的百姓。
【伐罪弔人】	見“伐罪弔民”。
【罰一勸百】	處罰一人而勸戒眾人。
【法不傳六耳】	謂極端秘密，不能讓第三者知道。
【法出一門】	謂法律統一，前後一致，不能隨意變通。
【法灸神針】	神奇的針灸技術。
【法脈準繩】	又作：法則標準。
【法無二門】	見“法出一門”。
【法無可貸】	謂按法律不可寬恕。
【番窠倒臼】	形容打破現成的格式。
【番來複去】	見“番來覆去”。
【番來覆去】	亦作“番來複去”。①不斷翻身。②反復多次。
【翻腸攪肚】	形容內心極度思念或感到非常不安。
【翻陳出新】	從舊的翻造出新的。
【翻脣弄舌】	指用花言巧語搬弄是非。
【翻江倒海】	①形容水勢浩大。多喻力量或聲勢非常壯大。②形容吵鬧得很凶或事情搞得亂七八糟。
【翻江攪海】	見“翻江倒海”。
【翻空出奇】	形容詩文、字畫等一反前人窠臼，以獨特的想象取勝。語本南朝梁劉勰《文心雕龍·神思》：“意翻空而易奇。”
【翻來覆去】	①形容不斷地翻轉身體。②形容多次重複。
【翻衾倒枕】	形容翻來覆去不能入睡。
【翻然改悔】	見“翻然悔悟”。
【翻然改圖】	迅速改變過來，另作打算。
【翻然悔悟】	形容很快認識到過錯而悔改醒悟。
【翻山越嶺】	形容野外工作或行進途中的辛苦。
【翻手是雨，合手是雲】	同“翻雲覆雨”。
【翻手為雲，覆手為雨】	見“翻手是雨，合手是雲”。
【翻天蹙地】	形容迅猛勢盛。
【翻天覆地】	①形容變化巨大而徹底。②形容事情鬧得很凶。
【翻天作地】	又作：翻天覆地。形容鬧得很凶。
【翻箱倒櫃】	見“翻箱倒篋”。
【翻箱倒籠】	見“翻箱倒篋”。
【翻箱倒篋】	形容徹底地翻尋搜檢。
【翻雲覆雨】	比喻反覆無常或慣于玩弄權術。語本唐杜甫《貧交行》：“翻手作雲覆手雨，紛紛輕薄何須數！”
【飜黃倒皁】	又作：顛倒黑白。
【飜手雲覆手雨】	語出唐杜甫《貧交行》：“翻手作雲覆手雨，紛紛輕薄何須數。”後因以“翻手雲覆手雨”比喻反覆無常或玩弄手段。
【凡才淺識】	才能平庸，識見膚淺。
【凡夫俗子】	人世間的俗人。
【凡偶近器】	謂平庸之輩；普通人才。
【凡胎肉眼】	凡人的只能看見塵俗世界的眼睛。
【凡胎濁骨】	凡人的重濁軀體。
【凡胎濁體】	見“凡胎濁骨”。
【煩文縟禮】	繁瑣而不必要的禮節。
【燔書阬儒】	同“焚書坑儒”。
【繁稱博引】	謂廣泛援引事例。
【繁榮昌盛】	形容興旺發達、蓬勃發展。
【繁絲急管】	見“繁弦急管”。
【繁文末節】	見“繁文縟禮”。
【繁文縟節】	見“繁文縟禮”。
【繁文縟禮】	謂繁瑣的儀式或禮節。亦比喻其他繁瑣多餘的事項。
【繁弦急管】	見“繁弦急管”。
【繁弦急管】	謂管弦之音繁密而急促。
【繁弦急管】	謂管弦之音繁密而急促。
【繁音促節】	繁密的音調，急促的節奏。
【反脣相譏】	見“反{辰月}相譏”。
【反脣相譏】	受到指責不服氣而反過來對對方加以譏諷。
【反脣相稽】	受到指責而反過來與對方計較。
【反風滅火】	漢劉昆為江陵令，縣多火災，昆向火叩頭，多能降雨止風；後為弘農太守。先是崤黽驛道多虎穴，行旅不通。昆為政三年，仁化大行，虎皆負子渡河，光武帝聞而異之，以為德政。《後漢書·儒林傳上·劉昆》：“詔問昆曰：‘前在江陵，反風滅火，後守弘農，虎北渡河，行何德政而致是事？’昆對曰：‘偶然耳。’左右皆笑其質訥。帝嘆曰：‘此乃長者之言也。’”後以“反風滅火”比喻施行德政。
【反復無常】	見“反覆無常”。
【反覆無常】	變化不定。
【反戈一擊】	掉轉武器，向原屬營壘回擊。
【反攻倒算】	指被打倒的階級敵人或反動勢力糾集起來向革命人民進行反撲報復。
【反躬自問】	反問自己。
【反躬自責】	回過頭來責備自己。
【反驕破滿】	反對驕傲，破除自滿。
【反經合道】	見“反經合義”。
【反經合義】	雖違背常道，但仍合于義理。
【反客為主】	①客人反過來成為主人。②喻變被動為主動。③比喻變次要的為主要的。
【反老還童】	①由衰老恢復青春。道家傳說卻老術的一種。②今以形容老年健壯。參見“返老還童”。
【反面無情】	形容翻臉不認人，不講情誼。
【反樸還淳】	復歸於樸實、淳正。
【反求諸己】	猶反躬自問。謂從自己方面找原因。
【反裘負芻】	①反穿皮衣，背著柴。②古人穿皮衣以毛朝外為正，反裘指毛朝裡。亦以喻愚昧或不知輕重本末。
【反裘負薪】	見“反裘負芻”。
【反裘傷皮】	古人穿皮衣毛朝外，反穿則毛在裡，皮必受損。比喻愚昧不知本末。
【反身自問】	見“反躬自問”。
【反水不收】	謂水已潑出，不能收回。用指事成定局，無可改變。
【反正撥亂】	治理亂世，使之恢復安定、正常。語出《公羊傳·哀公十四年》：“撥亂世，反諸正，莫近諸《春秋》。”
【反正還淳】	見“反樸還淳”。
【返本朝元】	又作：返本還源。
【返本還元】	又作：返本還源。
【返本還原】	同“返本還源”。恢復根本；恢復原樣。
【返本還源】	①返回原地。②恢復根本。
【返觀內視】	見“返視內照”。
【返觀內照】	見“返視內照”。
【返來複去】	謂多次重複。
【返老歸童】	見“返老還童”。
【返老還童】	由老年回到少年；由衰老恢復青春。
【返轡收帆】	喻退歸。
【返璞歸真】	同“返樸歸真”。
【返樸歸真】	謂還其原始的淳樸本真狀態。
【返樸還淳】	猶返樸歸真。
【返樸還真】	同“返樸歸真”。
【返視內照】	原為佛教語。謂用佛性對照檢查。後亦指自我反省。
【返邪歸正】	又作：改邪歸正。
【返虛入渾】	①謂詩作空靈，入于渾然之境。②謂人無知無識，渾渾噩噩。
【返照回光】	佛教語。謂用佛性對照檢查，自我反省。
【犯而不校】	別人觸犯自己也不計較。
【犯而勿校】	見“犯而不校”。
【犯上作亂】	違抗尊長君上，為悖逆或叛亂之行。語出《論語·學而》：“不好犯上，而好作亂者，未之有也。”
【汎浩摩蒼】	泛海摩天。形容文詞博大高深。語出唐杜牧《冬至日寄小侄阿宜詩》：“李杜泛浩浩，韓柳摩蒼蒼。”
【汎濫成災】	本指洪水漫溢，造成災害。後多比喻某種不良現象到處都是，造成禍害。
【汎應曲當】	謂廣泛適應，無不恰當。
【汎宅浮家】	謂以船為家。
【飯來開口】	見“飯來張口”。
【飯來張口】	謂吃現成飯而不勞動。
【飯糲茹蔬】	吃糙米和蔬菜。形容飲食粗劣。糲，糙米。
【飯囊酒甕】	比喻只會吃飯喝酒，不會做事的人。
【飯囊衣架】	盛飯的口袋和掛衣的架子。比喻庸碌無能之輩。
【飯牛屠狗】	①喻指從事低賤之事。②指從事賤業者。
【飯糗茹草】	吃乾糧和野菜。形容生活困苦。
【飯蔬飲水】	《論語·述而》：“子曰：‘飯疏食飲水，曲肱而枕之，樂亦在其中矣。不義而富且貴，於我如浮雲。’”後因以“飯蔬飲水”形容清心寡慾、安貧樂道的生活。
【范水模山】	喻效法模仿他人。
【販夫皁隸】	泛指社會地位低下的人。
【販夫騶卒】	小商販和隸役。泛指地位低下的人。
【販夫走卒】	見“販夫騶卒”。
【販官鬻爵】	又作：賣官鬻爵。
【販賤賣貴】	同“買賤賣貴”。
【販交買名】	謂賣友求榮。
【梵冊貝葉】	指佛經。佛經原本多用梵文寫於貝多羅樹葉上，故稱。
【方驂並路】	猶並駕齊驅。
【方來未艾】	謂（恩澤）方始來到尚未止歇。
【方領矩步】	方形的衣領，規矩適度的步子。指古代儒生的服飾和儀態。亦借指儒生。語本《後漢書·儒林傳序》：“建武五年，乃修起太學……服方領習矩步者，委它乎其中。”又《馬援傳》：“勃衣方領，能矩步，辭言嫺雅。”
【方領圓冠】	方形的衣領和圓形的帽冠，為古代儒生的服飾。亦借指儒生。
【方枘圓鑿】	亦作“方枘圜鑿”。方形榫頭與圓形榫眼。比喻彼此不相投合，事不能成。
【方枘圜鑿】	見“方枘圓鑿”。
【方桃譬李】	形容姿質之美有如桃李一般。
【方頭不劣】	倔強不馴。引申為強暴。
【方頭不律】	見“方頭不劣”。
【方興未艾】	謂正在興起而未到止境。艾，停止。
【方興未已】	見“方興未艾”。
【方言矩行】	謂言行方正，合乎規範。
【方以類聚】	謂同類事物相聚一處。
【方員可施】	隨處可用。形容人多才多藝。
【方鑿圓枘】	方形榫眼和圓形榫頭。喻兩者不相投合。
【方趾圓顱】	方形腳、圓形頭為人的特徵，因以指人。
【方滋未艾】	見“方興未艾”。
【方足圓顱】	見“方趾圓顱”。
【芳蘭竟體】	遍體芳香。謂人品高雅絕俗。
【防不勝防】	形容要防備的太多，以致防備不過來。
【防患未萌】	防止禍患于未發生之前。
【防患未然】	見“防患於未然”。
【防患于未然】	見“防患於未然”。
【防患於未然】	在禍患發生之前就加以預防。語本《易·既濟》：“君子以思患而豫防之。”
【防禍于未然】	見“防禍於未然”。
【防禍於未然】	防止禍患于萌發之前。
【防萌杜漸】	又作：防微杜漸。
【防微杜漸】	在錯誤或壞事剛萌發時，就加以制止，不使其發展。
【防微杜釁】	又作：防微杜漸。
【防心攝行】	謂防止雜念和注意言行。
【防意如城】	謂遏止私慾，如守城防敵。
【房謀杜斷】	唐太宗時，名相房玄齡多謀，杜如晦善斷。兩人同心濟謀，傳為美談。《舊唐書·房玄齡杜如晦傳論》：“世傳太宗嘗與文昭圖事，則曰：‘非如晦莫能籌之。’及如晦至焉，竟從玄齡之策也。蓋房知杜之能斷大事，杜知房之善建嘉謀。”
【魴魚赬尾】	《詩·周南·汝墳》：“魴魚赬尾，王室如燬。”毛傳：“赬，赤也；魚勞則尾赤。”硃熹集傳：“魴尾本白而今赤，則勞甚矣。”後因以形容人困苦勞累，負擔過重。
【訪貧問苦】	訪問貧苦的老百姓。
【訪親問友】	拜訪親友。
【放辟邪侈】	肆意為非作歹。
【放闢淫侈】	見“放僻淫佚”。
【放長線釣大魚】	比喻作出周密的佈置，引出深藏的、主要的敵人。
【放達不羈】	縱放曠達，不受拘束。
【放誕不羈】	見“放蕩不羈”。
【放誕不拘】	見“放蕩不羈”。
【放誕風流】	謂不拘禮法而有文采。
【放蕩不羈】	行為放任，無所約束。
【放蕩形骸】	同“放浪形骸”。
【放刁把濫】	謂刁難敲詐，胡作非為。
【放刁撒潑】	耍無賴，不講道理。
【放飯流歠】	大口吃飯和喝湯。古人認為是對尊長極不敬的行為。
【放虎歸山】	比喻放走敵人，貽患無窮。語本《三國志·蜀志·劉巴傳》“俄而先主定益州，巴辭謝罪負，先主不責”裴松之注引晉司馬彪《零陵先賢傳》：“璋遣法正迎劉備，巴諫曰：‘備，雄人也，入必為害，不可內也。’既入，巴復諫曰：‘若使備討張魯，是放虎於山林也。’璋不聽。”
【放虎遺患】	謂放掉老虎，必留後患。
【放虎自衛】	比喻尋求保護不當，反而自招禍害。
【放火燒山】	比喻煽風點火，挑撥離間。
【放浪不羈】	謂言行隨便，不受約束。
【放浪不拘】	見“放浪不羈”。
【放浪無拘】	見“放浪不羈”。
【放浪形骸】	指言行放縱，不拘形跡。
【放龍入海】	比喻放走敵手留下後患。
【放馬華陽】	謂不再用兵。
【放牛歸馬】	語本《書·武成》：“乃偃武修文，歸馬于華山之陽，放牛于桃林之野，示天下弗服”。後以“放牛歸馬”比喻不再用兵。
【放屁添風】	謂從旁助威。
【放僻邪侈】	見“放辟邪侈”。
【放僻淫佚】	肆意為非作歹。亦指肆無忌憚、邪惡不正。
【放潑撒豪】	耍無賴，仗勢壓人。
